Campaign,Country,Device,Date,Spend,Revenue,Impressions,Clicks,Purchases
Summer Sale,FR,mobile,2025-01-10,194.5,924.52,35524,544,15
Retargeting,DE,tablet,2025-01-10,103.03,536.32,21189,174,4
Prospecting,FR,mobile,2025-01-10,180.4,307.73,38452,671,15
Brand Awareness,UK,tablet,2025-01-10,371.81,394.43,72492,743,49
Holiday Push,DE,desktop,2025-01-10,160.96,678.14,31259,361,24
Summer Sale,DE,desktop,2025-01-11,128.68,591.6,25727,732,49
Retargeting,DE,desktop,2025-01-11,71.6,394.56,14531,128,6
Prospecting,UK,desktop,2025-01-11,227.45,461.9,52831,681,40
Brand Awareness,CA,desktop,2025-01-11,260.15,258.41,58897,926,46
Holiday Push,FR,mobile,2025-01-11,176.9,538.85,42141,502,39
Summer Sale,CA,mobile,2025-01-12,137.71,563.24,30807,459,25
Retargeting,CA,tablet,2025-01-12,83.8,440.47,16364,386,7
Prospecting,FR,tablet,2025-01-12,282.91,558.52,62307,997,24
Brand Awareness,UK,desktop,2025-01-12,266.5,364.32,59478,868,33
Holiday Push,DE,tablet,2025-01-12,131.8,435.7,24730,426,32
Summer Sale,CA,tablet,2025-01-13,187.46,757.75,43120,633,20
Retargeting,DE,tablet,2025-01-13,98.35,494.56,20312,257,12
Prospecting,DE,tablet,2025-01-13,187.72,339.98,40918,629,43
Brand Awareness,CA,mobile,2025-01-13,265.88,358.18,50209,452,35
Holiday Push,UK,mobile,2025-01-13,136.25,566.26,29231,695,29
Summer Sale,UK,mobile,2025-01-14,141.94,640.89,33151,892,65
Retargeting,US,desktop,2025-01-14,72.5,437.48,15303,139,4
Prospecting,UK,tablet,2025-01-14,195.0,346.04,41314,838,32
Brand Awareness,DE,tablet,2025-01-14,356.7,495.16,73339,2049,95
Holiday Push,CA,desktop,2025-01-14,170.37,601.08,38351,1015,37
Summer Sale,FR,tablet,2025-01-15,193.69,740.15,35764,510,18
Retargeting,UK,desktop,2025-01-15,67.35,295.51,13670,155,5
Prospecting,CA,tablet,2025-01-15,224.63,398.82,41272,1086,47
Brand Awareness,FR,desktop,2025-01-15,213.52,295.24,45808,847,64
Holiday Push,CA,mobile,2025-01-15,169.69,721.68,34810,850,44
Summer Sale,UK,tablet,2025-01-16,178.73,682.49,37379,618,37
Retargeting,UK,tablet,2025-01-16,71.91,361.96,13494,292,6
Prospecting,US,desktop,2025-01-16,259.66,378.98,56752,623,29
Brand Awareness,UK,desktop,2025-01-16,278.24,295.38,55539,1374,58
Holiday Push,DE,tablet,2025-01-16,168.13,598.08,37819,345,26
Summer Sale,US,tablet,2025-01-17,133.41,662.81,24336,211,7
Retargeting,FR,desktop,2025-01-17,71.23,308.96,15682,320,10
Prospecting,FR,mobile,2025-01-17,200.17,375.76,45013,473,32
Brand Awareness,DE,mobile,2025-01-17,314.16,441.67,67402,1885,80
Holiday Push,CA,mobile,2025-01-17,147.74,602.19,28745,670,25
Summer Sale,US,tablet,2025-01-18,211.99,913.84,38680,762,45
Retargeting,FR,tablet,2025-01-18,97.97,402.25,20103,377,17
Prospecting,FR,tablet,2025-01-18,308.74,546.78,58407,693,35
Brand Awareness,FR,desktop,2025-01-18,355.48,433.09,74298,1306,83
Holiday Push,UK,tablet,2025-01-18,169.54,691.09,31398,860,29
Summer Sale,DE,desktop,2025-01-19,191.92,767.05,34876,931,28
Retargeting,US,tablet,2025-01-19,106.08,506.46,24697,578,21
Prospecting,UK,tablet,2025-01-19,317.21,476.34,70802,1327,86
Brand Awareness,DE,desktop,2025-01-19,338.13,397.34,61213,885,39
Holiday Push,CA,desktop,2025-01-19,153.77,524.57,32785,510,40
Summer Sale,FR,mobile,2025-01-20,164.0,676.06,32537,425,26
Retargeting,FR,tablet,2025-01-20,103.12,620.76,22831,278,17
Prospecting,FR,mobile,2025-01-20,263.44,523.55,56852,1681,117
Brand Awareness,US,tablet,2025-01-20,274.96,303.86,61173,659,14
Holiday Push,US,tablet,2025-01-20,122.54,519.51,26747,656,17
Summer Sale,UK,mobile,2025-01-21,156.71,652.58,31411,918,32
Retargeting,DE,tablet,2025-01-21,107.39,525.94,19807,432,10
Prospecting,CA,tablet,2025-01-21,317.37,476.48,61852,1254,56
Brand Awareness,UK,desktop,2025-01-21,250.62,303.46,51886,920,65
Holiday Push,DE,desktop,2025-01-21,145.76,432.43,34633,352,23
Summer Sale,UK,tablet,2025-01-22,197.33,715.1,37577,362,7
Retargeting,UK,mobile,2025-01-22,95.07,444.37,18432,434,26
Prospecting,DE,desktop,2025-01-22,278.11,585.48,63205,1374,81
Brand Awareness,US,mobile,2025-01-22,230.66,246.32,43580,603,17
Holiday Push,UK,tablet,2025-01-22,164.58,615.01,37763,1067,49
Summer Sale,CA,mobile,2025-01-23,158.84,641.11,31185,619,28
Retargeting,CA,tablet,2025-01-23,111.03,619.38,24007,205,6
Prospecting,DE,desktop,2025-01-23,317.62,685.96,69983,974,21
Brand Awareness,UK,mobile,2025-01-23,303.41,355.68,59677,1786,82
Holiday Push,UK,tablet,2025-01-23,137.48,476.78,27394,282,8
Summer Sale,US,desktop,2025-01-24,179.51,802.97,36624,905,20
Retargeting,US,tablet,2025-01-24,76.63,330.77,17345,468,32
Prospecting,UK,tablet,2025-01-24,305.41,541.38,55967,1086,62
Brand Awareness,UK,mobile,2025-01-24,289.57,285.16,56762,617,23
Holiday Push,US,tablet,2025-01-24,100.43,380.35,22893,540,20
Summer Sale,DE,desktop,2025-01-25,170.06,635.6,39196,411,31
Retargeting,UK,mobile,2025-01-25,113.36,530.0,25202,431,21
Prospecting,DE,mobile,2025-01-25,243.52,376.03,46618,987,63
Brand Awareness,US,desktop,2025-01-25,259.72,347.82,53215,1519,76
Holiday Push,UK,tablet,2025-01-25,158.99,649.63,34150,769,55
Summer Sale,DE,tablet,2025-01-26,178.31,698.71,40257,656,49
Retargeting,UK,tablet,2025-01-26,75.9,368.97,17560,299,11
Prospecting,DE,desktop,2025-01-26,312.01,534.94,74665,1898,112
Brand Awareness,UK,mobile,2025-01-26,383.67,391.57,91283,1396,36
Holiday Push,DE,mobile,2025-01-26,142.18,503.03,31755,540,32
Summer Sale,FR,tablet,2025-01-27,176.7,881.43,35395,822,48
Retargeting,CA,mobile,2025-01-27,109.4,531.16,21770,518,33
Prospecting,US,desktop,2025-01-27,267.62,430.61,59161,847,28
Brand Awareness,FR,mobile,2025-01-27,386.1,511.57,85804,876,26
Holiday Push,CA,desktop,2025-01-27,101.86,410.13,20127,326,9
Summer Sale,CA,tablet,2025-01-28,187.12,877.86,35590,346,24
Retargeting,FR,tablet,2025-01-28,76.0,451.61,14332,260,9
Prospecting,UK,desktop,2025-01-28,176.41,356.23,41292,945,27
Brand Awareness,FR,mobile,2025-01-28,387.78,427.95,92183,2137,101
Holiday Push,FR,tablet,2025-01-28,181.95,747.6,33915,555,23
Summer Sale,US,tablet,2025-01-29,157.88,789.87,34653,486,26
Retargeting,FR,mobile,2025-01-29,103.24,596.62,24176,606,20
Prospecting,DE,tablet,2025-01-29,270.49,510.43,59687,1424,84
Brand Awareness,FR,tablet,2025-01-29,227.49,286.91,41486,1051,23
Holiday Push,CA,desktop,2025-01-29,109.04,456.86,21764,373,11
Summer Sale,UK,desktop,2025-01-30,183.33,897.34,42134,575,39
Retargeting,DE,tablet,2025-01-30,103.31,492.89,19309,563,16
Prospecting,UK,mobile,2025-01-30,283.63,608.54,67514,1735,72
Brand Awareness,UK,tablet,2025-01-30,257.6,262.58,52064,1274,45
Holiday Push,CA,desktop,2025-01-30,176.98,537.31,34339,293,21
Summer Sale,FR,tablet,2025-01-31,224.85,839.12,41325,1079,80
Retargeting,US,mobile,2025-01-31,85.05,371.26,20137,295,14
Prospecting,CA,desktop,2025-01-31,308.09,473.74,63841,1452,93
Brand Awareness,CA,desktop,2025-01-31,315.72,413.2,73602,1649,115
Holiday Push,DE,desktop,2025-01-31,176.88,580.67,39164,500,23
Summer Sale,UK,desktop,2025-02-01,136.73,616.92,29078,858,35
Retargeting,CA,mobile,2025-02-01,73.25,317.11,16912,304,18
Prospecting,CA,mobile,2025-02-01,182.59,306.77,43699,1106,35
Brand Awareness,CA,mobile,2025-02-01,315.55,426.08,61210,1532,103
Holiday Push,US,tablet,2025-02-01,121.29,521.18,29018,577,39
Summer Sale,US,mobile,2025-02-02,219.58,786.41,44244,1121,62
Retargeting,UK,desktop,2025-02-02,77.33,335.5,15872,166,3
Prospecting,CA,desktop,2025-02-02,251.99,382.65,52975,1525,34
Brand Awareness,US,desktop,2025-02-02,292.45,416.08,53708,995,43
Holiday Push,DE,desktop,2025-02-02,157.84,555.4,36927,557,16
Summer Sale,FR,desktop,2025-02-03,193.43,840.15,43082,705,39
Retargeting,CA,tablet,2025-02-03,90.3,447.67,20550,216,12
Prospecting,UK,desktop,2025-02-03,304.82,533.33,71110,1216,84
Brand Awareness,UK,mobile,2025-02-03,341.33,378.88,67839,923,71
Holiday Push,DE,tablet,2025-02-03,105.66,317.29,21756,530,22
Summer Sale,UK,tablet,2025-02-04,132.48,658.05,28311,643,28
Retargeting,DE,tablet,2025-02-04,65.78,306.98,13073,134,6
Prospecting,FR,tablet,2025-02-04,247.33,507.04,49715,1006,27
Brand Awareness,CA,mobile,2025-02-04,250.71,292.32,53566,1332,76
Holiday Push,FR,desktop,2025-02-04,149.16,570.88,33055,285,10
Summer Sale,US,mobile,2025-02-05,163.91,600.69,30912,694,16
Retargeting,FR,tablet,2025-02-05,103.29,466.75,21194,328,13
Prospecting,US,desktop,2025-02-05,264.43,548.96,50065,1231,28
Brand Awareness,CA,mobile,2025-02-05,289.76,337.14,62711,1073,35
Holiday Push,FR,mobile,2025-02-05,126.99,386.01,28025,589,30
Summer Sale,DE,desktop,2025-02-06,149.82,751.18,27460,343,26
Retargeting,CA,tablet,2025-02-06,78.63,340.06,16499,288,7
Prospecting,US,desktop,2025-02-06,209.52,385.99,46111,728,31
Brand Awareness,UK,desktop,2025-02-06,213.37,299.18,49443,1021,55
Holiday Push,FR,mobile,2025-02-06,107.67,313.32,21478,550,31
Summer Sale,FR,tablet,2025-02-07,173.16,612.61,35695,600,14
Retargeting,CA,mobile,2025-02-07,81.33,387.09,15459,297,7
Prospecting,DE,mobile,2025-02-07,310.89,525.89,69528,1808,124
Brand Awareness,DE,tablet,2025-02-07,236.36,249.29,51087,1263,74
Holiday Push,CA,tablet,2025-02-07,139.51,553.35,31472,562,42
Summer Sale,US,desktop,2025-02-08,194.61,858.07,45121,983,28
Retargeting,FR,desktop,2025-02-08,86.88,408.14,17070,157,7
Prospecting,US,tablet,2025-02-08,242.79,359.56,55817,540,38
Brand Awareness,US,desktop,2025-02-08,316.93,362.74,68082,1973,126
Holiday Push,US,desktop,2025-02-08,174.36,645.69,33354,710,35
Summer Sale,DE,mobile,2025-02-09,137.18,668.14,27519,652,32
Retargeting,FR,desktop,2025-02-09,76.38,379.84,15762,307,9
Prospecting,FR,mobile,2025-02-09,233.11,465.66,51455,470,27
Brand Awareness,CA,mobile,2025-02-09,269.34,330.7,54728,741,52
Holiday Push,UK,mobile,2025-02-09,126.0,468.61,23749,372,29
Summer Sale,DE,tablet,2025-02-10,190.26,939.09,37780,615,41
Retargeting,UK,tablet,2025-02-10,100.95,606.92,24210,679,17
Prospecting,UK,mobile,2025-02-10,229.27,390.0,43748,556,42
Brand Awareness,CA,tablet,2025-02-10,250.78,257.31,46301,1230,32
Holiday Push,UK,mobile,2025-02-10,172.23,505.38,34481,857,23
Summer Sale,UK,mobile,2025-02-11,143.52,682.68,32473,837,25
Retargeting,UK,mobile,2025-02-11,85.19,465.12,16548,294,10
Prospecting,FR,tablet,2025-02-11,255.1,424.18,58294,1067,74
Brand Awareness,CA,desktop,2025-02-11,380.48,545.05,79025,1122,48
Holiday Push,UK,desktop,2025-02-11,179.17,726.77,40864,451,15
Summer Sale,DE,desktop,2025-02-12,185.89,656.63,42894,1146,42
Retargeting,UK,desktop,2025-02-12,87.26,447.4,20057,200,14
Prospecting,US,desktop,2025-02-12,314.57,546.95,64105,1040,44
Brand Awareness,DE,mobile,2025-02-12,250.42,278.71,46564,1104,44
Holiday Push,UK,desktop,2025-02-12,101.22,425.23,21088,554,36
Summer Sale,CA,tablet,2025-02-13,192.46,939.56,34862,444,12
Retargeting,CA,desktop,2025-02-13,85.86,486.26,16679,178,6
Prospecting,CA,mobile,2025-02-13,184.42,376.66,38726,766,44
Brand Awareness,DE,tablet,2025-02-13,339.34,373.21,61113,963,52
Holiday Push,CA,tablet,2025-02-13,154.13,560.08,31078,900,47
Summer Sale,US,desktop,2025-02-14,128.2,618.85,23410,386,16
Retargeting,FR,mobile,2025-02-14,105.58,505.03,23647,516,34
Prospecting,UK,tablet,2025-02-14,181.65,332.99,41563,492,32
Brand Awareness,US,desktop,2025-02-14,296.14,310.2,55701,1323,101
Holiday Push,UK,tablet,2025-02-14,114.93,461.93,26795,400,15
Summer Sale,US,tablet,2025-02-15,177.13,606.05,38758,554,39
Retargeting,UK,desktop,2025-02-15,80.92,350.7,16352,450,29
Prospecting,US,tablet,2025-02-15,1284.24,2308.12,269499,7636,390
Brand Awareness,US,mobile,2025-02-15,286.41,334.15,68654,821,30
Holiday Push,UK,desktop,2025-02-15,125.55,415.03,25958,617,18
Summer Sale,US,mobile,2025-02-16,174.29,798.43,40905,880,40
Retargeting,US,mobile,2025-02-16,99.24,487.14,20918,512,15
Prospecting,FR,desktop,2025-02-16,302.3,582.9,62361,672,22
Brand Awareness,FR,desktop,2025-02-16,278.91,343.69,60329,1383,106
Holiday Push,DE,mobile,2025-02-16,162.1,600.82,34327,575,33
Summer Sale,FR,tablet,2025-02-17,128.8,473.03,27185,763,20
Retargeting,US,mobile,2025-02-17,87.1,532.41,17170,483,23
Prospecting,FR,tablet,2025-02-17,302.92,534.8,70859,1260,31
Brand Awareness,DE,desktop,2025-02-17,272.54,270.13,57923,1599,113
Holiday Push,US,desktop,2025-02-17,140.74,429.93,27030,298,20
Summer Sale,US,mobile,2025-02-18,185.83,739.56,42410,853,48
Retargeting,CA,mobile,2025-02-18,79.7,487.7,17783,347,22
Prospecting,DE,tablet,2025-02-18,193.8,323.31,35746,652,33
Brand Awareness,US,mobile,2025-02-18,325.16,340.55,77380,1355,101
Holiday Push,CA,desktop,2025-02-18,141.52,469.55,26848,766,25
Summer Sale,FR,tablet,2025-02-19,217.36,821.84,47406,953,26
Retargeting,CA,tablet,2025-02-19,91.81,468.71,17454,501,14
Prospecting,US,mobile,2025-02-19,310.3,522.26,73055,650,46
Brand Awareness,CA,tablet,2025-02-19,380.74,506.42,74579,942,51
Holiday Push,DE,tablet,2025-02-19,100.54,418.26,21388,473,18
Summer Sale,UK,mobile,2025-02-20,169.86,700.16,37592,431,19
Retargeting,FR,desktop,2025-02-20,81.37,355.84,18852,283,22
Prospecting,FR,desktop,2025-02-20,194.61,332.16,41587,624,29
Brand Awareness,DE,mobile,2025-02-20,254.63,256.28,50267,826,47
Holiday Push,CA,desktop,2025-02-20,166.33,702.68,37136,452,13
Summer Sale,DE,mobile,2025-02-21,179.87,697.6,32626,939,47
Retargeting,UK,desktop,2025-02-21,94.5,394.94,18605,393,27
Prospecting,UK,desktop,2025-02-21,255.5,523.77,52596,1441,91
Brand Awareness,UK,tablet,2025-02-21,218.14,214.77,46618,744,27
Holiday Push,DE,mobile,2025-02-21,135.83,498.74,31175,676,38
Summer Sale,DE,tablet,2025-02-22,168.54,791.37,33766,967,63
Retargeting,UK,tablet,2025-02-22,90.49,461.51,16534,182,7
Prospecting,DE,desktop,2025-02-22,243.55,457.02,51372,781,44
Brand Awareness,CA,desktop,2025-02-22,388.31,510.58,76867,1183,82
Holiday Push,UK,tablet,2025-02-22,157.53,521.69,36065,580,35
Summer Sale,FR,tablet,2025-02-23,159.23,775.44,36993,808,45
Retargeting,DE,tablet,2025-02-23,105.28,596.24,22599,539,29
Prospecting,US,tablet,2025-02-23,269.35,508.05,62077,698,42
Brand Awareness,DE,desktop,2025-02-23,380.68,385.53,68954,1027,29
Holiday Push,DE,tablet,2025-02-23,140.15,527.04,29192,778,49
Summer Sale,DE,desktop,2025-02-24,148.39,579.62,32606,637,24
Retargeting,FR,tablet,2025-02-24,112.25,536.37,22591,564,35
Prospecting,FR,desktop,2025-02-24,247.63,527.27,48718,709,54
Brand Awareness,FR,desktop,2025-02-24,336.88,435.02,70522,1308,70
Holiday Push,DE,desktop,2025-02-24,108.24,417.19,21949,648,44
Summer Sale,UK,mobile,2025-02-25,130.54,648.12,24116,683,40
Retargeting,CA,tablet,2025-02-25,73.91,382.76,17441,406,11
Prospecting,US,mobile,2025-02-25,263.02,424.66,57914,1139,66
Brand Awareness,CA,mobile,2025-02-25,284.39,370.94,52905,1320,26
Holiday Push,FR,desktop,2025-02-25,132.18,558.65,30758,569,18
Summer Sale,US,mobile,2025-02-26,156.82,542.5,35460,792,26
Retargeting,UK,mobile,2025-02-26,85.57,495.34,20197,177,12
Prospecting,CA,tablet,2025-02-26,315.49,672.86,74317,2027,41
Brand Awareness,UK,mobile,2025-02-26,229.31,328.33,45190,1344,70
Holiday Push,UK,tablet,2025-02-26,169.49,602.36,32468,340,10
Summer Sale,DE,mobile,2025-02-27,153.78,564.81,34477,875,47
Retargeting,UK,tablet,2025-02-27,95.99,516.71,19613,341,13
Prospecting,UK,mobile,2025-02-27,189.31,406.41,39499,1129,23
Brand Awareness,FR,tablet,2025-02-27,290.41,316.01,58017,1207,65
Holiday Push,CA,tablet,2025-02-27,128.2,412.84,28212,514,15
Summer Sale,DE,mobile,2025-02-28,209.14,945.25,45660,1310,55
Retargeting,CA,desktop,2025-02-28,114.7,579.86,23777,707,29
Prospecting,CA,mobile,2025-02-28,288.6,582.23,66244,1640,99
Brand Awareness,CA,tablet,2025-02-28,304.59,369.63,61437,1731,46
Holiday Push,DE,tablet,2025-02-28,114.98,420.0,21831,585,27
Summer Sale,CA,desktop,2025-03-01,188.98,663.85,39803,1026,48
Retargeting,UK,desktop,2025-03-01,87.67,368.02,18212,468,29
Prospecting,US,tablet,2025-03-01,297.47,588.09,63866,574,23
Brand Awareness,UK,mobile,2025-03-01,388.94,547.86,71619,2044,44
Holiday Push,UK,desktop,2025-03-01,162.59,647.56,38810,861,38
Summer Sale,CA,mobile,2025-03-02,219.92,1073.95,44542,1025,61
Retargeting,DE,mobile,2025-03-02,98.29,470.76,18744,371,19
Prospecting,UK,mobile,2025-03-02,288.43,618.54,59930,1427,64
Brand Awareness,US,mobile,2025-03-02,254.55,286.66,50028,1431,90
Holiday Push,DE,mobile,2025-03-02,166.0,578.3,37509,1029,21
Summer Sale,US,desktop,2025-03-03,136.9,467.71,29552,693,15
Retargeting,FR,mobile,2025-03-03,86.7,449.2,19530,489,13
Prospecting,FR,mobile,2025-03-03,297.37,584.84,59216,1252,75
Brand Awareness,US,tablet,2025-03-03,264.32,271.92,58048,746,28
Holiday Push,UK,mobile,2025-03-03,177.68,736.8,41700,907,41
Summer Sale,UK,desktop,2025-03-04,231.01,1141.62,50887,1286,50
Retargeting,FR,tablet,2025-03-04,71.06,344.5,16007,294,20
Prospecting,CA,mobile,2025-03-04,196.65,348.73,36076,616,27
Brand Awareness,FR,mobile,2025-03-04,279.92,302.98,55932,544,25
Holiday Push,US,mobile,2025-03-04,142.99,582.59,26180,426,23
Summer Sale,FR,desktop,2025-03-05,146.32,678.87,32696,663,32
Retargeting,UK,mobile,2025-03-05,114.68,471.48,27090,790,21
Prospecting,FR,desktop,2025-03-05,279.34,543.79,56928,755,29
Brand Awareness,UK,mobile,2025-03-05,293.93,373.7,58346,928,67
Holiday Push,FR,desktop,2025-03-05,165.44,648.57,37339,561,18
Summer Sale,CA,tablet,2025-03-06,130.94,630.04,29392,245,13
Retargeting,DE,desktop,2025-03-06,101.88,477.02,19537,255,13
Prospecting,UK,desktop,2025-03-06,257.6,545.93,51585,1278,63
Brand Awareness,CA,tablet,2025-03-06,240.28,322.36,45690,1089,53
Holiday Push,US,mobile,2025-03-06,178.41,648.43,41095,395,27
Summer Sale,CA,desktop,2025-03-07,170.54,814.41,33065,778,15
Retargeting,UK,mobile,2025-03-07,83.15,444.05,18293,394,19
Prospecting,FR,mobile,2025-03-07,175.99,323.33,31803,624,22
Brand Awareness,US,tablet,2025-03-07,300.4,389.01,61832,1772,54
Holiday Push,UK,mobile,2025-03-07,110.51,348.81,23382,606,21
Summer Sale,US,tablet,2025-03-08,166.29,672.17,35569,1059,35
Retargeting,UK,mobile,2025-03-08,116.55,630.04,21200,358,15
Prospecting,FR,tablet,2025-03-08,270.51,526.43,50033,1330,78
Brand Awareness,CA,desktop,2025-03-08,385.92,550.88,90184,2545,85
Holiday Push,US,mobile,2025-03-08,120.77,508.54,26698,378,19
Summer Sale,UK,mobile,2025-03-09,226.31,879.97,53791,1125,73
Retargeting,CA,desktop,2025-03-09,79.16,414.04,16940,452,27
Prospecting,FR,mobile,2025-03-09,232.58,458.79,52895,1225,30
Brand Awareness,CA,desktop,2025-03-09,227.58,243.84,42002,895,50
Holiday Push,DE,desktop,2025-03-09,179.39,600.95,39115,987,46
Summer Sale,CA,desktop,2025-03-10,185.73,741.2,35501,741,31
Retargeting,DE,tablet,2025-03-10,106.09,587.18,19618,223,13
Prospecting,FR,mobile,2025-03-10,233.44,396.78,43301,1244,58
Brand Awareness,US,mobile,2025-03-10,233.85,245.53,48390,977,43
Holiday Push,FR,desktop,2025-03-10,127.73,384.98,27574,417,17
Summer Sale,CA,tablet,2025-03-11,167.88,587.97,39295,1096,86
Retargeting,US,mobile,2025-03-11,72.16,350.46,13589,198,9
Prospecting,DE,tablet,2025-03-11,240.2,418.72,50214,486,17
Brand Awareness,UK,desktop,2025-03-11,322.51,401.53,61835,640,24
Holiday Push,CA,mobile,2025-03-11,168.7,578.14,39093,691,31
Summer Sale,UK,desktop,2025-03-12,158.45,692.96,35131,651,19
Retargeting,UK,desktop,2025-03-12,78.74,432.89,16492,340,11
Prospecting,CA,mobile,2025-03-12,297.47,512.52,55577,1134,62
Brand Awareness,UK,desktop,2025-03-12,332.71,407.25,78912,1432,89
Holiday Push,DE,tablet,2025-03-12,167.83,500.06,38746,987,59
Summer Sale,UK,tablet,2025-03-13,158.71,600.64,30035,519,22
Retargeting,CA,mobile,2025-03-13,88.88,435.3,18700,528,32
Prospecting,US,mobile,2025-03-13,293.61,498.8,68625,1359,79
Brand Awareness,UK,desktop,2025-03-13,348.41,444.45,70135,1559,35
Holiday Push,CA,tablet,2025-03-13,179.12,626.89,32354,442,22
Summer Sale,CA,tablet,2025-03-14,188.7,816.39,39013,647,42
Retargeting,US,mobile,2025-03-14,90.03,430.68,16338,168,7
Prospecting,CA,desktop,2025-03-14,299.7,589.12,60209,936,62
Brand Awareness,US,tablet,2025-03-14,272.69,274.56,60897,1093,26
Holiday Push,DE,tablet,2025-03-14,107.67,441.75,23566,539,16
Summer Sale,UK,tablet,2025-03-15,144.84,525.63,30936,899,30
Retargeting,DE,desktop,2025-03-15,72.96,393.0,15024,129,7
Prospecting,US,tablet,2025-03-15,263.83,453.78,58645,734,47
Brand Awareness,FR,tablet,2025-03-15,228.32,314.75,43658,662,31
Holiday Push,CA,mobile,2025-03-15,170.46,620.46,37219,786,44
Summer Sale,FR,tablet,2025-03-16,163.58,781.99,35503,919,57
Retargeting,FR,tablet,2025-03-16,94.87,517.15,18859,249,6
Prospecting,UK,tablet,2025-03-16,196.2,337.4,42337,874,39
Brand Awareness,FR,mobile,2025-03-16,306.73,429.79,72339,854,25
Holiday Push,UK,mobile,2025-03-16,113.72,465.39,24695,667,51
Summer Sale,UK,desktop,2025-03-17,147.07,589.02,31428,702,31
Retargeting,DE,desktop,2025-03-17,101.35,505.28,19260,393,26
Prospecting,UK,tablet,2025-03-17,179.9,288.18,35497,893,48
Brand Awareness,CA,mobile,2025-03-17,301.95,372.88,59204,1181,93
Holiday Push,DE,desktop,2025-03-17,161.84,568.96,31253,542,34
Summer Sale,US,mobile,2025-03-18,220.48,752.75,43163,1164,29
Retargeting,UK,mobile,2025-03-18,74.33,415.11,16452,443,25
Prospecting,CA,desktop,2025-03-18,267.42,536.2,61188,1573,85
Brand Awareness,CA,tablet,2025-03-18,317.43,330.39,75783,1094,59
Holiday Push,FR,tablet,2025-03-18,166.48,511.97,37458,638,15
Summer Sale,UK,desktop,2025-03-19,139.7,672.66,27238,644,44
Retargeting,US,desktop,2025-03-19,70.68,379.56,15384,250,6
Prospecting,FR,tablet,2025-03-19,252.34,413.92,59597,960,73
